NPA,NXX,THOUSANDS,"COMPANY TYPE",OCN,COMPANY,LATA,RATECENTER,CLLI,STATE
201,200,,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,JERSEYCITY,JRCYNJBRDS5,NJ,
201,201,,WIRELESS,624H,"ONVOY SPECTRUM, LLC",224,JERSEYCITY,HCKNNJHKX4X,NJ,
201,201,0,CLEC,118F,"BANDWIDTH.COM CLEC, LLC - NJ",224,JERSEYCITY,NOCLLIKNOWN,NJ,
201,201,1,CLEC,118F,"BANDWIDTH.COM CLEC, LLC - NJ",224,JERSEYCITY,NOCLLIKNOWN,NJ,
201,201,2,WIRELESS,624H,"ONVOY SPECTRUM, LLC",224,JERSEYCITY,HCKNNJHKX4X,NJ,
201,201,3,CLEC,118F,"BANDWIDTH.COM CLEC, LLC - NJ",224,JERSEYCITY,NOCLLIKNOWN,NJ,
201,201,4,CLEC,118F,"BANDWIDTH.COM CLEC, LLC - NJ",224,JERSEYCITY,NOCLLIKNOWN,NJ,
201,201,5,CLEC,118F,"BANDWIDTH.COM CLEC, LLC - NJ",224,JERSEYCITY,NOCLLIKNOWN,NJ,
201,201,6,CLEC,7142,"TELEPORT COMMUNICATIONS AMERICA, LLC - NJ",224,JERSEYCITY,NOCLLIKNOWN,NJ,
201,201,7,CLEC,118F,"BANDWIDTH.COM CLEC, LLC - NJ",224,JERSEYCITY,NOCLLIKNOWN,NJ,
201,201,8,CLEC,118F,"BANDWIDTH.COM CLEC, LLC - NJ",224,JERSEYCITY,NOCLLIKNOWN,NJ,
201,201,9,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,JERSEYCITY,RCPKNJ02GT1,NJ,
201,204,,IPES,829J,"PAETEC ITEL, LLC",224,JERSEYCITY,NWRKNJMD7MD,NJ,
201,204,0,CLEC,4804,"LEVEL 3 COMMUNICATIONS, LLC - NJ",224,JERSEYCITY,NOCLLIKNOWN,NJ,
201,204,1,IPES,515J,"IP HORIZON LLC",224,JERSEYCITY,NOCLLIKNOWN,NJ,
201,204,2,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,JERSEYCITY,WAYNNJAWCMH,NJ,
201,204,3,CLEC,325E,"YMAX COMMUNICATIONS CORP. - NJ",224,JERSEYCITY,NOCLLIKNOWN,NJ,
201,204,4,IPES,829J,"PAETEC ITEL, LLC",224,JERSEYCITY,NWRKNJMD7MD,NJ,
201,204,5,IPES,829J,"PAETEC ITEL, LLC",224,JERSEYCITY,NWRKNJMD7MD,NJ,
201,204,6,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,JERSEYCITY,WAYNNJAWCMH,NJ,
201,204,7,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,JERSEYCITY,WAYNNJAWCMH,NJ,
201,204,8,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,JERSEYCITY,WAYNNJAWCMH,NJ,
201,204,9,CLEC,4804,"LEVEL 3 COMMUNICATIONS, LLC - NJ",224,JERSEYCITY,NOCLLIKNOWN,NJ,
201,205,,PCS,5562,"METROPCS, INC.",224,JERSEYCITY,WAYNNJAWCMS,NJ,
201,205,0,PCS,5562,"METROPCS, INC.",224,JERSEYCITY,WAYNNJAWCMS,NJ,
201,205,1,CLEC,7229,"MCIMETRO ACCESS TRANSMISSION SERVICES LLC",224,JERSEYCITY,NWRKNJMDDS0,NJ,
201,205,2,CLEC,118F,"BANDWIDTH.COM CLEC, LLC - NJ",224,JERSEYCITY,NOCLLIKNOWN,NJ,
201,205,3,PCS,5562,"METROPCS, INC.",224,JERSEYCITY,WAYNNJAWCMS,NJ,
201,205,4,PCS,5562,"METROPCS, INC.",224,JERSEYCITY,WAYNNJAWCMS,NJ,
201,205,5,PCS,5562,"METROPCS, INC.",224,JERSEYCITY,WAYNNJAWCMS,NJ,
201,205,6,PCS,5562,"METROPCS, INC.",224,JERSEYCITY,WAYNNJAWCMS,NJ,
201,205,7,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,JERSEYCITY,WAYNNJAWCMH,NJ,
201,205,8,PCS,5562,"METROPCS, INC.",224,JERSEYCITY,WAYNNJAWCMS,NJ,
201,205,9,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,JERSEYCITY,WAYNNJAWCMH,NJ,
201,208,,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,JERSEYCITY,RCPKNJ02GT1,NJ,
201,208,0,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,JERSEYCITY,NBWKNJ17QMD,NJ,
201,208,1,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,JERSEYCITY,RCPKNJ02GT1,NJ,
201,208,2,CLEC,118F,"BANDWIDTH.COM CLEC, LLC - NJ",224,JERSEYCITY,NOCLLIKNOWN,NJ,
