NPA,NXX,THOUSANDS,"COMPANY TYPE",OCN,COMPANY,LATA,RATECENTER,CLLI,STATE
201,202,,WIRELESS,6630,"USA MOBILITY WIRELESS, INC.",224,HACKENSACK,WAYNNJ081MD,NJ,
201,203,,CLEC,325E,"YMAX COMMUNICATIONS CORP. - NJ",224,HACKENSACK,NWRKNJMDDSJ,NJ,
201,203,0,CLEC,325E,"YMAX COMMUNICATIONS CORP. - NJ",224,HACKENSACK,NWRKNJMDDSJ,NJ,
201,203,1,CLEC,325E,"YMAX COMMUNICATIONS CORP. - NJ",224,HACKENSACK,NWRKNJMDDSJ,NJ,
201,203,2,CLEC,325E,"YMAX COMMUNICATIONS CORP. - NJ",224,HACKENSACK,NWRKNJMDDSJ,NJ,
201,203,3,CLEC,325E,"YMAX COMMUNICATIONS CORP. - NJ",224,HACKENSACK,NWRKNJMDDSJ,NJ,
201,203,4,CLEC,325E,"YMAX COMMUNICATIONS CORP. - NJ",224,HACKENSACK,NWRKNJMDDSJ,NJ,
201,203,5,CLEC,325E,"YMAX COMMUNICATIONS CORP. - NJ",224,HACKENSACK,NWRKNJMDDSJ,NJ,
201,203,6,CLEC,325E,"YMAX COMMUNICATIONS CORP. - NJ",224,HACKENSACK,NWRKNJMDDSJ,NJ,
201,203,7,CLEC,325E,"YMAX COMMUNICATIONS CORP. - NJ",224,HACKENSACK,NWRKNJMDDSJ,NJ,
201,203,8,CLEC,325E,"YMAX COMMUNICATIONS CORP. - NJ",224,HACKENSACK,NWRKNJMDDSJ,NJ,
201,203,9,CLEC,325E,"YMAX COMMUNICATIONS CORP. - NJ",224,HACKENSACK,NWRKNJMDDSJ,NJ,
201,206,,PCS,5562,"METROPCS, INC.",224,HACKENSACK,WAYNNJAWCMS,NJ,
201,206,0,PCS,5562,"METROPCS, INC.",224,HACKENSACK,WAYNNJAWCMS,NJ,
201,206,1,PCS,5562,"METROPCS, INC.",224,HACKENSACK,WAYNNJAWCMS,NJ,
201,206,2,PCS,5562,"METROPCS, INC.",224,HACKENSACK,WAYNNJAWCMS,NJ,
201,206,3,PCS,5562,"METROPCS, INC.",224,HACKENSACK,WAYNNJAWCMS,NJ,
201,206,4,PCS,5562,"METROPCS, INC.",224,HACKENSACK,WAYNNJAWCMS,NJ,
201,206,5,PCS,5562,"METROPCS, INC.",224,HACKENSACK,WAYNNJAWCMS,NJ,
201,206,6,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,HACKENSACK,WAYNNJAWCMS,NJ,
201,206,7,PCS,5562,"METROPCS, INC.",224,HACKENSACK,WAYNNJAWCMS,NJ,
201,206,8,PCS,5562,"METROPCS, INC.",224,HACKENSACK,WAYNNJAWCMS,NJ,
201,206,9,PCS,5562,"METROPCS, INC.",224,HACKENSACK,WAYNNJAWCMS,NJ,
201,212,,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,HACKENSACK,WAYNNJAWCMS,NJ,
201,212,0,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,HACKENSACK,WAYNNJAWCMS,NJ,
201,212,1,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,HACKENSACK,WAYNNJAWCMS,NJ,
201,212,2,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,HACKENSACK,WAYNNJAWCMS,NJ,
201,212,3,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,HACKENSACK,WAYNNJAWCMS,NJ,
201,212,4,CLEC,118F,"BANDWIDTH.COM CLEC, LLC - NJ",224,HACKENSACK,NOCLLIKNOWN,NJ,
201,212,5,CLEC,118F,"BANDWIDTH.COM CLEC, LLC - NJ",224,HACKENSACK,NOCLLIKNOWN,NJ,
201,212,6,CLEC,4804,"LEVEL 3 COMMUNICATIONS, LLC - NJ",224,HACKENSACK,NOCLLIKNOWN,NJ,
201,212,7,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,HACKENSACK,WAYNNJAWCMS,NJ,
201,212,8,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,HACKENSACK,WAYNNJAWCMS,NJ,
201,212,9,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,HACKENSACK,WAYNNJAWCMS,NJ,
201,214,,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,218,,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,220,,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,221,,CLEC,7142,"TELEPORT COMMUNICATIONS AMERICA, LLC - NJ",224,HACKENSACK,RCPKNJ02BMD,NJ,
201,221,0,CLEC,7142,"TELEPORT COMMUNICATIONS AMERICA, LLC - NJ",224,HACKENSACK,RCPKNJ02BMD,NJ,
201,221,1,CLEC,7142,"TELEPORT COMMUNICATIONS AMERICA, LLC - NJ",224,HACKENSACK,RCPKNJ02BMD,NJ,
201,221,2,CLEC,7142,"TELEPORT COMMUNICATIONS AMERICA, LLC - NJ",224,HACKENSACK,RCPKNJ02BMD,NJ,
201,221,3,IPES,515J,"IP HORIZON LLC",224,HACKENSACK,NOCLLIKNOWN,NJ,
201,221,4,IPES,515J,"IP HORIZON LLC",224,HACKENSACK,NOCLLIKNOWN,NJ,
201,221,5,UNKNOWN,932E,"XCHANGE TELECOM CORP. - NJ",224,HACKENSACK,NOCLLIKNOWN,NJ,
201,221,6,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,221,7,CLEC,7142,"TELEPORT COMMUNICATIONS AMERICA, LLC - NJ",224,HACKENSACK,RCPKNJ02BMD,NJ,
201,221,8,CLEC,7142,"TELEPORT COMMUNICATIONS AMERICA, LLC - NJ",224,HACKENSACK,RCPKNJ02BMD,NJ,
201,221,9,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,HACKENSACK,NBWKNJ17QMD,NJ,
201,226,,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,HACKENSACK,RCPKNJ02DS5,NJ,
201,229,,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,HACKENSACK,LTFYNJLFDS5,NJ,
201,229,0,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,HACKENSACK,LTFYNJLFDS5,NJ,
201,229,1,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,HACKENSACK,LTFYNJLFDS5,NJ,
201,229,2,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,HACKENSACK,NBWKNJ17QMD,NJ,
201,229,3,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,HACKENSACK,LTFYNJLFDS5,NJ,
201,229,4,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,HACKENSACK,LTFYNJLFDS5,NJ,
201,229,5,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,HACKENSACK,LTFYNJLFDS5,NJ,
201,229,6,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,HACKENSACK,LTFYNJLFDS5,NJ,
201,229,7,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,HACKENSACK,LTFYNJLFDS5,NJ,
201,229,8,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,HACKENSACK,NBWKNJ17QMD,NJ,
201,229,9,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,HACKENSACK,LTFYNJLFDS5,NJ,
201,235,,WIRELESS,6734,"GENERAL COMMUNICATIONS & ELECTRONICS CORPORATION",224,HACKENSACK,WORNNJ821MD,NJ,
201,245,,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,249,,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,"FAIR LAWN",NBWKNJ17QMD,NJ,
201,249,0,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,"FAIR LAWN",NBWKNJ17QMD,NJ,
201,249,1,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,"FAIR LAWN",NBWKNJ17QMD,NJ,
201,249,2,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,"FAIR LAWN",NBWKNJ17QMD,NJ,
201,249,3,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,"FAIR LAWN",NBWKNJ17QMD,NJ,
201,249,4,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,"FAIR LAWN",NBWKNJ17QMD,NJ,
201,249,5,IPES,515J,"IP HORIZON LLC",224,"FAIR LAWN",NOCLLIKNOWN,NJ,
201,249,6,CLEC,118F,"BANDWIDTH.COM CLEC, LLC - NJ",224,"FAIR LAWN",NOCLLIKNOWN,NJ,
201,249,7,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,"FAIR LAWN",NBWKNJ17QMD,NJ,
201,249,8,CLEC,4948,"CABLEVISION LIGHTPATH, INC. - NJ",224,"FAIR LAWN",NOCLLIKNOWN,NJ,
201,249,9,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,"FAIR LAWN",WAYNNJAWCMS,NJ,
201,250,,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,HACKENSACK,NBWKNJ17QMD,NJ,
201,250,0,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,HACKENSACK,NBWKNJ17QMD,NJ,
201,250,1,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,HACKENSACK,NBWKNJ17QMD,NJ,
201,250,2,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,HACKENSACK,NBWKNJ17QMD,NJ,
201,250,3,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,HACKENSACK,NBWKNJ17QMD,NJ,
201,250,4,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,HACKENSACK,NBWKNJ17QMD,NJ,
201,250,5,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,HACKENSACK,NBWKNJ17QMD,NJ,
201,250,6,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,HACKENSACK,NBWKNJ17QMD,NJ,
201,250,7,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,HACKENSACK,NBWKNJ17QMD,NJ,
201,250,8,CLEC,4948,"CABLEVISION LIGHTPATH, INC. - NJ",224,HACKENSACK,NOCLLIKNOWN,NJ,
201,250,9,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,HACKENSACK,NBWKNJ17QMD,NJ,
